Date,Security_ID,TASE_Symbol,US_Ticker,Weight,US_Return
07/11/2025,1095264,CAMT,CAMT,5.54458,-0.009397067
07/11/2025,720011,ENLT,ENLT,5.87202,0.009970679
07/11/2025,1081124,ESLT,ESLT,4.61308,0.011003971
07/11/2025,281014,ICL,ICL,4.13484,0.02359336
07/11/2025,273011,NICE,NICE,3.60835,-0.018367506
07/11/2025,1084557,NVMI,NVMI,5.12143,-0.02047638
07/11/2025,1134402,ORA,ORA,5.42165,-0.011067482
07/11/2025,629014,TEVA,TEVA,6.32339,-0.020032698
07/11/2025,1082379,TSEM,TSEM,7.53044,-0.003319488
10/11/2025,1095264,CAMT,CAMT,5.54458,-0.066487623
10/11/2025,720011,ENLT,ENLT,5.87202,0.043844431
10/11/2025,1081124,ESLT,ESLT,4.61308,0.037731803
10/11/2025,281014,ICL,ICL,4.13484,0.01063833
10/11/2025,273011,NICE,NICE,3.60835,0.032180059
10/11/2025,1084557,NVMI,NVMI,5.12143,0.034201337
10/11/2025,1134402,ORA,ORA,5.42165,0.008723984
10/11/2025,629014,TEVA,TEVA,6.32339,0.012098495
10/11/2025,1082379,TSEM,TSEM,7.53044,0.166884725
11/11/2025,1095264,CAMT,CAMT,5.54458,-0.063848909
11/11/2025,720011,ENLT,ENLT,5.87202,0.015577122
11/11/2025,1081124,ESLT,ESLT,4.61308,-0.002488455
11/11/2025,281014,ICL,ICL,4.13484,-0.007017565
11/11/2025,273011,NICE,NICE,3.60835,-0.017346469
11/11/2025,1084557,NVMI,NVMI,5.12143,-0.028983594
11/11/2025,1134402,ORA,ORA,5.42165,-0.014588941
11/11/2025,629014,TEVA,TEVA,6.32339,0.035861456
11/11/2025,1082379,TSEM,TSEM,7.53044,0.017125386
12/11/2025,1095264,CAMT,CAMT,5.54458,-0.009990403
12/11/2025,720011,ENLT,ENLT,5.87202,0.083264888
12/11/2025,1081124,ESLT,ESLT,4.61308,-0.003937808
12/11/2025,281014,ICL,ICL,4.13484,-0.02826855
12/11/2025,273011,NICE,NICE,3.60835,-0.011927481
12/11/2025,1084557,NVMI,NVMI,5.12143,0.009614978
12/11/2025,1134402,ORA,ORA,5.42165,-0.013120599
12/11/2025,629014,TEVA,TEVA,6.32339,0.027855184
12/11/2025,1082379,TSEM,TSEM,7.53044,0.066546397
13/11/2025,1095264,CAMT,CAMT,5.54458,-0.033863749
13/11/2025,720011,ENLT,ENLT,5.87202,-0.0495575
13/11/2025,1081124,ESLT,ESLT,4.61308,-0.02388591
13/11/2025,281014,ICL,ICL,4.13484,-0.001818187
13/11/2025,273011,NICE,NICE,3.60835,0.062127744
13/11/2025,1084557,NVMI,NVMI,5.12143,-0.048130507
13/11/2025,1134402,ORA,ORA,5.42165,-0.030812102
