Date,TA35_Open,TA35_Close
11/9/2025,3336.55,3334.88
11/10/2025,3354.34,3372.4
11/11/2025,3375.61,3389.21
11/12/2025,3393.06,3434.03
11/13/2025,3435.97,3434.29
11/16/2025,3413.76,3447.17
11/17/2025,3462.22,3451.39
11/18/2025,3413.71,3385.71
11/19/2025,3394.74,3395.1
11/20/2025,3415.17,3359.36
11/23/2025,3330.08,3320.72
11/24/2025,3334.79,3371.41
11/25/2025,3377.97,3344.86
11/26/2025,3366.8,3374.3
11/27/2025,3375.92,3390.77
11/30/2025,3414.91,3425.82
12/1/2025,3408.25,3429.69
12/2/2025,3440.03,3495.1
12/3/2025,3493.06,3467.16
12/4/2025,3502.82,3506.55
12/7/2025,3509.67,3540.51
12/8/2025,3541.23,3548.5
12/9/2025,3550.36,3569.04
12/10/2025,3570.44,3604.65
12/11/2025,3595.86,3631.85
12/14/2025,3617.97,3614.2
12/15/2025,3624.99,3595.63
12/16/2025,3574.87,3607.33
12/17/2025,3614.25,3635.08
12/18/2025,3637.32,3661.68
12/21/2025,3670.78,3681.73
12/22/2025,3686.8,3708.78
12/23/2025,3705.82,3711.25
12/24/2025,3720.12,3719.65
12/25/2025,3705.68,3603.38
12/28/2025,3576.18,3618.8
12/29/2025,3614.43,3627.18
12/30/2025,3628.98,3661.17
12/31/2025,3648.56,3631.55
1/1/2026,3595.69,3695.29
1/5/2026,3755.05,3738.33
1/6/2026,3759.74,3845.39
1/7/2026,3848.59,3845.78
1/8/2026,3835.95,3830.54
1/9/2026,3834.32,3857.77
1/12/2026,3845.78,3884.13
1/13/2026,3889.91,3866.86
1/14/2026,3877.33,3928.48
1/15/2026,3945.38,3963.43
1/16/2026,3965.67,3971.91
1/19/2026,3937.66,3968.81
1/20/2026,3964.03,3948.41
1/21/2026,3958.43,3932.19
1/22/2026,3958.18,3973.26
1/23/2026,3963.23,3986.63
1/26/2026,4001.17,4005.65
1/27/2026,4008.55,4009.36
1/28/2026,4034.48,3980.54
1/29/2026,4009.28,3978.87
1/30/2026,3973.99,4003.67
2/2/2026,3972.1,4049.32
2/3/2026,4070.04,4119.81
2/4/2026,4146.28,4120.51
2/5/2026,4087.71,4039.01
2/6/2026,4046.25,4051.87
2/9/2026,4104.28,4119.77
2/10/2026,4124.37,4193.47
2/11/2026,4183.08,4160.4
2/12/2026,4178.77,4190.56
2/13/2026,4175.74,4170.22
2/16/2026,4195.57,4185.75
2/17/2026,4173.75,4196.3
2/18/2026,4208.99,4232.65
2/19/2026,4225.9,4210.39
2/20/2026,4217.77,4232.11
2/23/2026,4228.65,4243.47
2/24/2026,4250.41,4169
2/25/2026,4195.86,4162.9
2/26/2026,4150.02,4101.6
2/27/2026,4095.41,4128.36
3/2/2026,4233.68,4318.5
3/4/2026,4288.16,4309.68
3/5/2026,4295.27,4355.91
3/6/2026,4369.09,4356.68
3/9/2026,4280.08,4227.02
3/10/2026,4251.1,4187.97
3/11/2026,4141.34,4211.82
3/12/2026,4187.56,4146.17
3/13/2026,4109.82,4177.58
3/16/2026,4187.59,4177.04
3/17/2026,4157.82,4242.48
3/18/2026,4258.39,4295.11
3/19/2026,4279.98,4305.03
3/20/2026,4340.79,4313.86
3/23/2026,4233.42,4318.13
3/24/2026,4257.01,4267.51
3/25/2026,4293.7,4309.11
3/26/2026,4300.05,4261.85
3/27/2026,4162.79,4100.12
3/30/2026,4081.34,4022.57
3/31/2026,3983.55,4099.01
4/3/2026,4209.18,4189.31
4/6/2026,4197.94,4248.43
