Date,Score,Threshold,Trade,Predicted_Up,Actual_Up,TA35_Return,Strategy_Return,Always_Up_Pred,Open_Gap_Pred,Dual_Return_Pred,Strategy_Equity,BuyHold_Equity
2026-01-28,0.07487743540444951,0.11649119876275081,0,1,0,-0.0071881796595966,0.0,1,1,1,1.0,0.9928118203404034
2026-01-29,-0.05983302079914421,0.11456847162305786,0,0,0,-0.0004195410672923,0.0,1,1,0,1.0,0.9923952950096774
2026-01-30,-0.1158875594153165,0.11445202558369862,0,0,1,0.0062329254285764,0.0,1,0,0,1.0,0.9985808208791428
2026-02-02,0.06070561637193013,0.11433557954433937,0,1,1,0.0114020386295574,0.0,1,0,1,1.0,1.009966677973542
2026-02-03,0.02949769632483072,0.11421913350498013,0,1,1,0.0174078610729704,0.0,1,1,1,1.0,1.0275480375920347
2026-02-04,-0.11147256405660907,0.11403723999055311,0,0,1,0.000169910748311,0.0,1,1,0,1.0,1.0277226290480275
2026-02-05,-0.07427486195843859,0.11382262273859221,0,0,0,-0.0197791050136997,0.0,1,0,1,1.0,1.007395195243131
2026-02-06,0.11845956727770544,0.11360800548663132,1,1,1,0.0031839485418456,0.0031839485418456,1,1,1,1.0031839485418457,1.0106026897060878
2026-02-09,0.08142304926840283,0.11410877907454008,0,1,1,0.0167576945953351,0.0,1,1,1,1.0031839485418457,1.0275380609374067
2026-02-10,0.0678176548957206,0.11389416182257918,0,1,1,0.0178893481917679,0.0,1,1,1,1.0031839485418457,1.04592004708981
2026-02-11,-0.024101846822740525,0.11367954457061828,0,0,0,-0.0078860704857792,0.0,1,0,1,1.0031839485418457,1.0376718478759703
2026-02-12,-0.10894731230059573,0.11346492731865739,0,0,1,0.0072493029516393,0.0,1,1,0,1.0031839485418457,1.0451942454656107
2026-02-13,-0.026128599376110083,0.11233308223037633,0,0,0,-0.0048537665610324,0.0,1,0,0,1.0031839485418457,1.0401211165871862
